Name,SD,Rossi (2005),Chambers (2007),Noda (2009),Wahlestedt (2013),Beerman (2013),Sun (2014),Seka,Num Old Outliers
Cpt1a,68.93301313,0,0,0,0,0,0,1,5
Slco2a1,5.245262832,0,1,0,0,0,1,1,5
Tbc1d8,13.50109125,0,0,0,1,0,1,1,4
Fut8,139.4569875,0,1,0,0,0,1,1,1
Gm7694,14.30742883,0,0,0,0,0,0,1,5
Pam,17.21833851,0,0,0,0,0,1,1,1
Clu,103.9441061,1,1,0,1,0,1,1,4
Amotl2,19.34977668,0,0,0,1,0,1,1,5
Ccna2,76.47743375,0,0,0,0,0,1,1,4
Dock9,60.34888051,1,0,0,1,0,1,1,3
Oxr1,43.24922059,1,1,0,1,0,1,1,3
Pde3b,36.21876748,0,0,0,0,0,0,1,5
Cd38,3.444856755,0,1,0,1,0,1,1,5
Kif4,14.84639642,0,0,0,0,0,1,1,0
Eltd1,308.6244034,0,1,0,0,0,1,1,5
Stat3,80.37205577,0,0,1,0,1,1,1,4
Fam63a,53.49755453,0,0,0,1,0,1,1,5
Flt3,15.41037237,1,1,0,0,0,1,1,2
Rdh10,11.4340805,0,0,0,1,0,1,1,5
Mcm6,39.80201155,0,0,0,0,0,1,1,5
Lamp2,55.44920462,0,1,0,1,0,1,1,5
Arhgap29,14.0248068,0,0,1,1,0,1,1,5
Gem,23.61747964,0,1,1,1,0,1,1,4
Pf4,7.718419642,0,0,0,0,0,0,1,0
Tm4sf1,16.47732627,0,1,0,1,0,1,1,4
Mpp6,10.25799006,0,0,0,0,0,1,1,0
Il2rg,26.44949831,0,0,0,0,0,1,1,4
Myof,86.78223248,0,0,0,1,0,1,1,4
Prcp,70.36453858,0,0,0,1,0,1,1,4
Tgm2,101.7806937,0,0,0,1,0,1,1,4
Kif20b,22.3546313,0,0,0,0,0,1,1,4
Trpc1,17.24756852,0,1,0,1,0,1,1,4
Prtn3,17.76332727,0,0,0,1,0,1,1,4
Ckap2,10.73542572,0,0,0,0,0,1,1,3
Rbpms2,18.76210659,0,0,0,1,0,1,1,5
Tc2n,23.65928043,0,0,0,1,0,1,1,3
Dtl,16.06339131,0,0,0,0,0,1,1,3
Kntc1,20.68237517,0,0,0,1,0,1,1,3
Ptplad2,37.24947512,0,0,0,0,0,1,1,5
Stom,9.863337756,0,0,0,0,0,0,1,4
Adamts6,9.839386505,0,0,0,0,0,0,1,3
Plcg2,137.9731658,0,0,0,0,0,0,1,2
Ckap2l,18.63268541,0,0,0,0,0,1,1,1
Eps8,34.94118719,0,1,0,0,0,1,1,5
Osmr,29.35633952,1,0,1,1,0,1,1,5
Clip3,17.19460825,0,0,0,0,0,1,1,4
BC005764,22.81415247,0,0,0,0,0,0,1,5
Dennd4a,48.53524616,0,0,0,0,0,0,1,4
Lipt1,8.246157565,0,0,0,0,0,0,1,5
Ptprk,26.04294169,1,1,0,1,0,1,1,4
Top2a,93.93087913,0,0,0,0,0,1,1,4
Mir5114,7.21222712,0,0,0,0,0,0,1,2
Wbp2,31.57102589,0,0,0,0,0,0,1,2
Zg16,16.28212646,0,0,0,0,0,1,1,5
Hk2,31.7300368,0,1,0,0,0,1,1,4
Lgals3bp,129.4363085,0,1,0,0,0,1,1,4
Grina,73.42359537,0,0,0,0,0,1,1,5
Cdca3,7.263704349,0,0,0,0,0,1,1,3
Cetn3,7.729141659,0,0,0,0,0,0,1,2
Lpar6,66.98765538,0,0,0,0,0,1,1,3
Ldlr,6.862290681,0,0,0,0,0,0,1,5
Samsn1,78.83466449,0,0,0,0,0,1,1,3
Lama5,10.60335104,0,1,0,0,0,1,1,4
Sgsm1,6.567497985,0,0,0,0,0,0,1,5
Ampd3,11.03004256,1,1,0,1,0,1,1,5
Hist1h1c,40.82133536,0,0,0,0,0,1,1,0
Extl3,45.64618162,0,0,0,0,0,0,1,4
Ckap5,46.36758515,0,0,0,0,0,1,1,5
Klhl13,12.29748741,0,1,0,0,0,1,1,4
Scd2,16.60238842,1,0,0,0,0,0,1,2
Tox,34.25963133,0,1,0,1,0,1,1,4
Cdc7,11.78676494,0,0,0,0,0,1,1,5
Rps19,16.74587829,0,0,0,0,0,1,0,0
Hist1h1e,62.62284528,0,0,0,0,0,0,1,0
Sbno2,80.33087845,0,0,0,0,0,0,1,3
Mylk,27.16772328,0,1,0,1,0,1,1,4
Rnaseh2b,7.112738665,0,0,0,0,0,0,1,0
Hist1h2bg,6.586537369,0,0,0,0,0,1,1,2
Col16a1,38.0959806,0,0,0,1,1,1,1,1
Emcn,15.6100788,0,0,0,0,0,0,1,2
Mmp14,18.09045541,1,1,0,1,0,1,1,3
Glul,57.07192556,0,0,0,0,0,1,0,2
Matn4,9.063973426,0,1,0,1,0,1,1,5
Sipa1l1,31.20474256,0,0,0,0,0,0,1,4
Gaa,40.22374855,0,0,0,0,0,0,1,1
Vmp1,349.7231881,0,0,0,0,0,1,1,3
Psmd7,13.48478036,0,0,0,0,0,0,1,3
Plxnb2,60.86158716,1,0,0,0,1,1,1,5
Muc13,98.32040502,0,0,0,0,0,0,1,0
Ncapd2,27.44448202,0,0,0,0,0,1,1,3
Mrps22,5.914861663,0,0,0,0,0,0,1,1
Agtr1a,14.56181542,0,0,0,1,0,1,1,4
Asph,16.02742619,0,1,0,0,0,1,1,2
Rufy1,15.9999195,0,1,0,0,0,0,1,4
Gata2,227.2907574,0,0,0,0,0,0,1,1
Cit,23.6150153,0,1,0,0,0,1,1,0
Hist1h2bn,5.658504393,0,0,0,0,0,0,1,0
Aldh1a1,66.27672983,0,1,0,1,0,1,1,4
Emc10,27.56166734,0,0,0,0,0,0,1,5
Uba7,270.7289589,0,0,0,0,0,1,1,2
Oat,22.35920276,0,0,0,0,0,0,1,5
Ccnb2,11.29003051,0,0,0,0,0,1,1,1
Sla,21.7212204,0,0,0,0,0,1,1,3
Cd55,17.27045201,0,0,0,1,0,1,1,2
Phf11d,14.02547801,0,0,0,0,0,0,1,3
Ubl7,58.85513536,0,0,0,0,0,1,1,5
Gria3,8.909035662,1,0,0,0,1,1,1,4
Dr1,24.52834977,0,0,0,0,0,1,1,3
Podnl1,9.849453351,0,0,0,0,0,1,1,4
Lsr,11.91051115,0,0,1,1,0,1,1,5
Tsc22d1,145.9931496,0,0,0,0,0,1,1,4
R3hcc1l,21.87602204,0,0,0,0,0,0,1,4
Tenc1,33.40236458,0,0,0,0,0,1,1,3
Zfand5,68.7546853,0,0,0,0,0,1,1,1
Cd74,202.6721457,0,0,0,0,0,1,1,3
Tbxa2r,15.41811821,0,0,0,0,0,1,1,5
Hist1h1d,15.2877569,0,0,0,0,0,0,1,0
Atp8a1,148.2345835,1,1,0,0,0,1,1,1
Mki67,56.79403808,0,0,0,0,0,1,1,3
Pole,18.79032341,0,1,0,0,0,1,1,2
Plec,40.52523333,0,0,0,0,0,0,1,2
Cpne2,85.89933329,0,0,0,0,0,0,1,3
Clec1a,11.10189455,0,0,0,1,1,1,1,5
Rps6ka3,195.2321047,1,1,0,1,0,1,1,3
Tmem60,8.869675916,0,0,0,0,0,0,1,2
Mc5r,4.843232474,0,0,1,0,0,1,1,0
Arhgap15,31.90154226,0,0,1,1,1,1,1,4
Hist1h2ak,51.98212027,0,0,0,0,0,0,1,0
Fopnl,6.771650301,0,0,0,0,0,0,1,3
Phactr1,12.95881089,0,0,0,0,0,1,1,5
Nr4a1,3.566956026,0,0,0,0,0,0,1,0
Pkm,39.64987197,0,0,0,0,0,0,1,3
Nusap1,28.14843951,0,0,0,0,0,1,1,1
Kcnab1,17.17504709,1,0,0,0,0,0,1,4
Tmem176a,64.69705828,0,0,0,0,0,1,1,3
Apoe,108.732391,0,0,0,0,0,0,1,2
Ldha,120.1217625,0,0,0,0,0,1,1,3
Rfc2,19.38031159,0,0,0,0,0,1,1,1
9030619P08Rik,6.797104511,0,0,0,0,0,0,1,4
